SI max,Spike Response Time Mean,Spike Response Time CI95
10,0.4589146437354064,0.01150880561696
20,0.4206788442358001,0.0101956891745113
30,0.4043942310339434,0.0084995282613154
40,0.4061200774184755,0.0094662383201575
50,0.4164680536823107,0.0108349408619542
60,0.4113300648762782,0.0113081945480362
70,0.4076078144448103,0.0107361801707099
80,0.4128551080775918,0.0130122200075123
90,0.4070319156628406,0.0103039631336884
100,0.404017839161325,0.013298730548052
110,0.412625635184936,0.0145192058872208
120,0.4023256698623125,0.0144957772380064
130,0.4062536788274473,0.0142847025235049
140,0.4152056643546603,0.0138839650848685
150,0.4169382134108778,0.0153053078274752
160,0.406626983518652,0.0131790096874552
