SI max,Total Response Time Mean,Total Response Time CI95
10,0.8053440105906735,0.0060314160720083
20,1.506328621637355,0.0131680150636927
30,2.278603682719459,0.0258287872741191
40,3.117958374878891,0.0438522963936838
50,4.000006726967953,0.0683870640948669
60,4.950717510089896,0.0961840946438622
70,5.946746867945878,0.1308767051473408
80,6.981261573473043,0.1670994696708574
90,8.020435213140056,0.2033291260445666
100,9.086585425209073,0.2438287545895279
110,10.182328086249228,0.2832556651957866
120,11.226907198010316,0.3282596442088483
130,12.234654801514733,0.3721771919541032
140,13.225404423464996,0.4227311434451467
150,14.215091005260708,0.4753937585491563
160,15.154647570474449,0.5239382029219756
