SI max,Web Response Time Mean,Web Response Time CI95
10,0.9096306148578214,0.0075076502932126
20,1.7015077719104057,0.0197434852427725
30,2.5320034272787213,0.0375401476540273
40,3.425193328808297,0.0605338996370225
50,4.356688504614335,0.091152635687409
60,5.367466857800347,0.125244255590847
70,6.4252798174463335,0.1667416760465804
80,7.519774951612598,0.2102856615272479
90,8.615723587686109,0.2536326697866197
100,9.73759482945539,0.3010954081464657
110,10.885121591979482,0.3461613016188385
120,11.974678083856524,0.3967199604072466
130,13.019945033506255,0.4449756552078165
140,14.03857612933878,0.5003548406645412
150,15.056032178475812,0.5573703227796664
160,16.014633429821284,0.6098595816685046
