SI max,Web Throughput Mean,Web Throughput CI95
10,5.128562908899379,0.0206487577039417
20,5.654655875449833,0.0206837961763633
30,5.869501486566239,0.0212916124079786
40,5.977906076165277,0.0205392805004372
50,6.050158275541811,0.020474540809092
60,6.080873524938639,0.020774315211765
70,6.101769454432789,0.0209697440591688
80,6.115933806434292,0.0215961299347413
90,6.127721233792645,0.0228309909718003
100,6.13522686491071,0.0233617557184696
110,6.136736168294061,0.023643395319224
120,6.14107517425897,0.0237684924088006
130,6.142533090366046,0.023965531137649
140,6.144431488873878,0.0241899658085123
150,6.144022217112993,0.0242831485704125
160,6.146052868616534,0.0243120105049691
