SI_max,Arrival_Rate,Time,Transient_Response_Time_Mean,Transient_Response_Time_Variance,Transient_Response_Time_CI95
80,6.66,0.0,0.0,0.0,0.0
80,6.66,100.0,2.2141100650302077,1.1395046960719792,0.2092252671268486
80,6.66,200.0,2.9470234902627985,1.5390497898489823,0.2431545531690462
80,6.66,300.0,3.4307298304166087,1.8806623819209265,0.268788999149657
80,6.66,400.0,3.830741908277449,2.1254273459139013,0.2857453707772506
80,6.66,500.0,4.161865415043871,2.192530137302433,0.2902210153565904
80,6.66,600.0,4.441840195349514,2.2163088496712153,0.2917905426311302
80,6.66,700.0,4.696792478306438,2.2318595544738593,0.2928124257005972
80,6.66,800.0,4.9273496507982575,2.1732566925357766,0.2889426052011963
80,6.66,900.0,5.115254763953974,2.0649744431596,0.2816523712103613
80,6.66,1000.0,5.286221775951698,1.9385076245435993,0.27289138664396667
80,6.66,1100.0,5.434302686308858,1.834980011173195,0.26550441071520725
80,6.66,1200.0,5.5672543955707585,1.724577837723421,0.2573934385604709
80,6.66,1300.0,5.685605948591865,1.629907055443546,0.250228914080526
80,6.66,1400.0,5.772211762937817,1.5004812828684098,0.24008850235417944
80,6.66,1500.0,5.850009546181875,1.3679263521240894,0.22923843208153172
80,6.66,1600.0,5.915559695891045,1.2905309802326685,0.2226590176404679
80,6.66,1700.0,5.983608229259006,1.25935492044469,0.2199531282428218
80,6.66,1800.0,6.05055958368393,1.2298887611927944,0.21736468583921906
80,6.66,1900.0,6.09570345572302,1.190708252914563,0.21387437491192313
80,6.66,2000.0,6.136808581265702,1.1496072312168395,0.21015068735178122
80,6.66,2100.0,6.177122257713269,1.103348114930991,0.2058791421761538
80,6.66,2200.0,6.215145288367389,1.070069354933179,0.20275054707475637
80,6.66,2300.0,6.254892246783663,1.0428356058094297,0.20015387239015647
80,6.66,2400.0,6.27380090633483,1.0394066349833238,0.1998245362549839
80,6.66,2500.0,6.285018699821645,1.0386455194020443,0.19975136113015335
80,6.66,2600.0,6.300766429352401,1.0469463769963148,0.2005479793433243
80,6.66,2700.0,6.318873963691485,1.030993943632204,0.19901422898520285
80,6.66,2800.0,6.3413863061617315,1.0038616637154965,0.19637807839291663
80,6.66,2900.0,6.3608957300839615,0.9800410971715628,0.19403416912735436
80,6.66,3000.0,6.383446125866268,0.9551783732379319,0.19155712564743813
80,6.66,3100.0,6.412785539707689,0.9168573624119264,0.18767523127577748
80,6.66,3200.0,6.444661851868667,0.8772592074980365,0.18357774842078375
80,6.66,3300.0,6.472015391193184,0.8668020241442408,0.18248031827987685
80,6.66,3400.0,6.490926535713048,0.860738115084058,0.18184090691884808
80,6.66,3500.0,6.510721096688847,0.855730683712908,0.18131119641521057
80,6.66,3600.0,6.531326257678791,0.844741764023051,0.1801432752192252
80,6.66,3700.0,6.5483000030805405,0.8245434763783492,0.17797657764029137
80,6.66,3800.0,6.564152748306473,0.8076610326940155,0.17614512832313386
80,6.66,3900.0,6.573272902920239,0.7884358636828309,0.17403606562790264
80,6.66,4000.0,6.583209047649628,0.7781477077650945,0.17289685463160936
80,6.66,4100.0,6.592233283755973,0.766764975334549,0.17162762974664666
80,6.66,4200.0,6.598453949417382,0.7545812992773069,0.17025861268387282
80,6.66,4300.0,6.604264541109437,0.7433172964234338,0.16898306796659432
80,6.66,4400.0,6.610428269046153,0.7273696474992027,0.167160498857623
80,6.66,4500.0,6.620540943073018,0.7208866214684665,0.16641388298556284
80,6.66,4600.0,6.630316860470597,0.7181765448193921,0.16610078309803888
80,6.66,4700.0,6.641159965776152,0.7059773465793279,0.1646840178833133
80,6.66,4800.0,6.648190554019163,0.6931300244786324,0.16317868433214902
80,6.66,4900.0,6.655220618454854,0.6713319584408121,0.16059230528098858
80,6.66,5000.0,6.667846444697242,0.6557872044074052,0.15872215108331564
